winner,weight_class,is_title_bout,gender,total_rounds,r_weight,b_weight,r_height,b_height,r_reach,b_reach,r_stance,b_stance,r_wins,r_losses,r_SS_land_pm,r_SS_att_pm,r_SS_acc,r_TD_acc,r_SS_def_pct,r_TD_def_pct,b_wins,b_losses,b_SS_land_pm,b_SS_att_pm,b_SS_acc,b_TD_acc,b_SS_def_pct,b_TD_def_pct,r_age,b_age
Red,Lightweight,0,Men,3,70.31,70.31,177.8,175.26,185.42,180.34,Orthodox,Orthodox,9,1,5.18,2.53,0.43,1,0.64,0.83,8,2,2.53,4.23,0.34,0.16,0.57,0.71,28,25
Red,Strawweight,0,Women,3,52.16,52.16,154.94,167.64,154.94,165.1,Orthodox,Orthodox,9,3,4.1,2.48,0.57,0.5,0.53,0.72,9,4,2.94,3.92,0.62,0.62,0.51,0.53,28,30
Blue,Heavyweight,0,Men,3,92.99,92.99,182.88,190.5,190.5,187.96,Orthodox,Orthodox,14,9,3.03,3.24,0.54,0.32,0.44,0.58,17,7,5.61,3.3,0.55,0.2,0.54,0.58,33,35
Red,Welterweight,0,Men,3,77.11,77.11,180.34,175.26,193.04,187.96,Orthodox,Switch,20,10,3.92,3.81,0.49,0.41,0.57,0.68,12,4,2.41,1.31,0.43,0.44,0.48,0.8,38,37
Blue,Heavyweight,0,Men,3,92.99,92.99,187.96,190.5,193.04,193.04,Orthodox,Orthodox,7,3,4.46,2.73,0.62,0.07,0.58,1,15,3,2.43,5.81,0.33,0,0.4,0.66,36,31
Blue,Featherweight,0,Men,3,61.23,65.77,170.18,175.26,170.18,177.8,Orthodox,Switch,10,5,2.04,3.79,0.34,0.5,0.48,0.5,9,0,4.73,2.16,0.54,0.33,0.61,0.78,31,33
Blue,Middleweight,0,Men,5,83.91,83.91,187.96,190.5,193.04,190.5,Orthodox,Orthodox,12,3,2.62,3.36,0.39,0.4,0.51,0.33,13,4,4.53,3.26,0.54,0.31,0.61,0.76,35,29
Red,Lightweight,0,Men,3,70.31,70.31,180.34,172.72,182.88,177.8,Orthodox,Southpaw,18,5,4.41,3.8,0.47,0.47,0.6,0.72,27,13,4.34,4.23,0.4,0.18,0.51,0.56,34,35
Red,Welterweight,0,Men,3,77.11,77.11,190.5,180.34,198.12,177.8,Orthodox,Orthodox,18,5,4.37,3.33,0.46,0.39,0.54,0.74,19,5,3.36,2.94,0.51,0.4,0.62,0.73,33,39
Blue,Flyweight,0,Women,3,56.7,56.7,162.56,162.56,172.72,165.1,Orthodox,Southpaw,12,6,4.11,4.96,0.47,0.4,0.56,0.78,17,5,4.53,2.1,0.44,0.28,0.65,0.91,37,27
Blue,Welterweight,0,Men,3,77.11,77.11,190.5,175.26,190.5,182.88,Orthodox,Orthodox,7,4,5.61,4.61,0.57,0.44,0.44,0,9,3,3.29,3.03,0.52,0.16,0.54,1,27,33
Red,Strawweight,0,Women,3,52.16,52.16,162.56,170.18,157.48,172.72,Orthodox,Orthodox,14,6,5.79,4.94,0.49,0.38,0.63,0.43,15,9,6.54,6.55,0.42,0.62,0.51,0.65,33,27
Blue,Flyweight,0,Men,3,56.7,56.7,170.18,175.26,177.8,177.8,Southpaw,Switch,17,1,2.8,5.23,0.23,0.22,0.55,0.66,14,6,4.45,3.15,0.55,0.23,0.59,0.63,29,33
Red,Welterweight,0,Men,3,77.11,77.11,185.42,175.26,195.58,180.34,Orthodox,Switch,12,4,2.3,1.67,0.6,0.45,0.46,0.66,5,2,9.28,12.83,0.43,0,0.42,1,33,27
Red,Featherweight,0,Men,3,65.77,65.77,177.8,172.72,185.42,172.72,Orthodox,Switch,11,1,2.81,1.57,0.53,0.66,0.59,0.76,8,2,3.81,4.15,0.48,0.07,0.53,0.71,28,33
Red,Flyweight,0,Women,3,56.7,56.7,167.64,170.18,175.26,167.64,Orthodox,Orthodox,10,4,4.63,3.63,0.49,0.42,0.49,0.76,11,9,2.49,4.54,0.39,0.27,0.46,0.54,30,30
Blue,Lightweight,0,Men,3,70.31,70.31,175.26,177.8,177.8,175.26,Southpaw,Orthodox,7,3,6.77,7.7,0.4,0.33,0.55,1,9,1,4.39,3.29,0.45,0,0.63,0.9,28,27
Blue,Heavyweight,0,Men,3,119.75,92.99,185.42,190.5,187.96,195.58,Southpaw,Orthodox,8,2,3.79,3.79,0.68,0.44,0.46,1,11,4,3.36,4.17,0.44,0.48,0.5,0.77,28,28
Blue,Middleweight,1,Men,5,83.91,83.91,185.42,185.42,193.04,193.04,Orthodox,Switch,28,6,5.91,4.33,0.41,0.64,0.62,0.77,21,2,6.49,4.77,0.5,0.51,0.55,0.4,33,30
Red,Bantamweight,1,Women,5,61.23,61.23,170.18,167.64,170.18,167.64,Orthodox,Orthodox,16,9,4.14,3.29,0.52,0.27,0.6,0.63,10,3,3.84,4.86,0.57,0.38,0.53,0.68,35,32
Red,Welterweight,0,Men,3,77.11,77.11,190.5,185.42,203.2,185.42,Orthodox,Orthodox,29,12,3.47,2.42,0.46,0.4,0.52,0.54,10,2,3.83,3.33,0.46,0.6,0.52,0.16,36,32
Red,Middleweight,0,Men,3,83.91,83.91,177.8,185.42,190.5,187.96,Orthodox,Orthodox,31,10,5.96,6.58,0.51,0,0.53,0.92,16,7,6.19,5.67,0.47,0.25,0.52,0.67,36,34
Blue,Featherweight,0,Men,3,65.77,65.77,172.72,170.18,177.8,182.88,Southpaw,Orthodox,19,3,3.39,2.91,0.4,0.5,0.61,0.75,18,0,4.43,2.89,0.48,0.46,0.61,0.71,30,30
Blue,Bantamweight,0,Men,3,61.23,61.23,167.64,167.64,162.56,177.8,Orthodox,Orthodox,15,3,4.71,4.98,0.49,0.27,0.48,0.52,10,3,6.22,3.93,0.53,0,0.58,0.64,32,27
Blue,Featherweight,0,Men,3,65.77,65.77,175.26,187.96,175.26,198.12,Switch,Orthodox,15,7,5.56,4.31,0.48,0.1,0.57,0.48,11,1,5.4,4,0.46,0.62,0.58,0.84,28,31
Blue,Bantamweight,0,Men,3,61.23,61.23,180.34,172.72,182.88,177.8,Switch,Southpaw,10,2,5.16,4.19,0.35,0,0.56,0,10,2,4.63,5.41,0.45,0,0.65,1,27,30
Red,Strawweight,0,Women,3,52.16,52.16,165.1,165.1,160.02,170.18,Orthodox,Orthodox,13,8,2.61,3.12,0.46,0.43,0.56,0.43,13,7,2.99,2.65,0.4,0.33,0.53,0.38,28,31
Blue,Welterweight,0,Men,3,77.11,70.31,185.42,190.5,193.04,198.12,Orthodox,Orthodox,9,3,2.22,3.38,0.41,0.28,0.58,0.72,11,2,2.54,3.41,0.38,1,0.49,0.33,31,27
Red,Bantamweight,0,Women,3,56.7,56.7,170.18,170.18,172.72,165.1,Orthodox,Orthodox,10,3,3.95,4.03,0.45,0.37,0.51,0.8,12,6,3.76,7.03,0.44,0.33,0.43,0.65,35,35
Blue,Flyweight,0,Men,3,56.7,56.7,170.18,170.18,180.34,172.72,Switch,Orthodox,14,8,2.5,2,0.45,0.35,0.43,0.26,17,7,1.7,5.2,0.5,0.26,0.4,0,33,33
Red,Heavyweight,0,Men,5,92.99,92.99,190.5,198.12,190.5,208.28,Orthodox,Orthodox,19,1,3.64,2.25,0.53,0.31,0.59,0.86,21,8,3.81,2.83,0.53,1,0.44,0.57,31,31
Red,Lightweight,0,Men,3,70.31,70.31,172.72,172.72,180.34,180.34,Southpaw,Southpaw,37,17,2.96,3.18,0.42,0.44,0.58,0.48,23,12,4.92,4.26,0.41,0.5,0.62,0.55,40,35
Blue,Bantamweight,0,Men,3,61.23,61.23,167.64,175.26,175.26,175.26,Orthodox,Switch,20,5,3.01,3.61,0.43,0.46,0.61,0.76,14,2,5.69,3.99,0.48,0.44,0.53,0.66,31,30
